route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
1609.4,3.06,1.555,2.646,0.4444,462.82,4.781,sea,standard,Africa,Europe,normal,1
3107.4,3.66,4.412,3.84,0.3974,19063.8,10.0,sea,standard,Africa,MENA,high,1
2173.2,1.0,4.335,4.232,0.1252,6509.38,6.023,road,low_cost,Asia,MENA,low,1
1631.6,1.0,4.286,2.313,0.2578,311.25,6.224,air,premium,Asia,Asia,critical,1
1081.0,1.0,0.32,2.873,0.0128,40426.91,4.746,road,low_cost,Africa,Africa,normal,1
4985.2,3.58,4.24,4.995,0.1058,19391.07,8.114,rail,premium,Asia,MENA,normal,1
2429.1,1.0,5.201,0.58,0.0998,1278.01,5.927,air,standard,Asia,MENA,high,1
2957.4,3.92,0.903,4.489,0.2544,99898.65,5.127,road,standard,Africa,Asia,high,1
2075.7,1.94,2.234,2.452,0.3942,357.35,5.062,sea,standard,Asia,Europe,critical,1
3598.5,1.46,3.403,1.413,0.321,1752.3,6.806,rail,standard,Europe,Europe,high,1
5533.0,3.83,3.103,1.511,0.1968,4783.83,6.381,road,premium,Asia,Europe,critical,1
3177.8,2.25,4.766,3.369,0.1249,9244.78,8.264,air,premium,MENA,Asia,normal,1
3432.9,3.21,2.106,3.944,0.0618,3701.66,3.775,sea,standard,Europe,Europe,high,1
3884.1,2.74,2.568,2.708,0.1579,2767.53,5.524,sea,low_cost,Asia,Asia,normal,1
2437.9,2.59,2.57,6.01,0.2328,9978.09,4.85,air,standard,MENA,Europe,normal,1
1956.4,1.0,0.787,1.352,0.3324,6892.62,7.439,air,premium,MENA,Europe,normal,1
1288.2,4.72,3.697,3.504,0.1406,1821.3,9.277,sea,low_cost,MENA,MENA,normal,1
3344.5,4.49,1.494,4.127,0.3995,2414.07,8.103,sea,low_cost,MENA,MENA,normal,1
3291.3,1.06,4.221,2.875,0.1711,1345.42,5.206,road,standard,MENA,Europe,normal,1
2963.9,2.02,3.209,6.884,0.3479,17413.04,6.048,sea,standard,Asia,Europe,normal,1
2912.8,2.39,3.586,5.16,0.3728,7701.6,5.022,rail,standard,Asia,MENA,normal,1
2354.0,3.0,4.541,1.375,0.4833,6834.73,10.0,sea,standard,Europe,Asia,normal,1
4997.8,2.3,1.509,3.81,0.0056,4783.75,4.134,air,low_cost,MENA,Europe,low,0
1224.3,1.0,2.142,1.869,0.1238,771.09,4.439,road,low_cost,Asia,Africa,normal,1
671.0,1.0,4.483,3.228,0.246,20357.31,3.472,sea,low_cost,Asia,MENA,high,1
2411.5,1.0,4.673,3.038,0.2854,6434.57,10.0,sea,premium,Europe,Asia,normal,1
3324.0,2.2,6.675,2.972,0.3805,10181.52,6.939,air,premium,Africa,Asia,low,1
114.1,2.39,3.447,0.972,0.0863,1294.37,7.501,air,premium,Europe,Africa,normal,0
