route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
2869.1,1.92,2.868,0.862,0.4376,16254.02,4.921,air,low_cost,MENA,Africa,high,1
6497.8,5.12,1.033,5.032,0.3094,3668.94,2.261,sea,standard,Asia,MENA,normal,1
1249.9,1.0,4.713,0.594,0.257,21820.91,3.289,rail,standard,MENA,Asia,high,1
7186.5,6.14,2.33,2.942,0.2319,1165.14,1.211,sea,standard,MENA,Africa,low,1
2225.3,2.23,6.122,7.499,0.0818,4043.14,5.315,road,low_cost,Africa,Africa,normal,1
5577.0,4.88,3.797,1.982,0.2725,6275.97,1.695,air,standard,Asia,Asia,normal,1
2525.0,4.34,1.766,2.383,0.2476,266.28,2.442,road,standard,Asia,Europe,normal,1
7715.0,5.43,1.278,6.996,0.2144,3914.18,1.88,air,low_cost,MENA,Europe,normal,1
894.8,1.0,4.296,2.689,0.1991,2547.13,1.19,sea,standard,Africa,Asia,low,1
3564.4,3.18,3.159,1.858,0.436,4122.34,3.884,sea,standard,Africa,Asia,critical,1
1623.8,1.0,2.311,4.914,0.3024,27785.21,1.722,road,standard,Africa,Europe,normal,1
4166.6,3.1,6.771,3.093,0.4477,10928.96,1.756,air,low_cost,Asia,Africa,normal,1
4687.2,4.62,2.545,5.054,0.1364,1094.6,4.595,air,standard,Europe,Europe,low,1
2880.4,3.45,1.451,0.988,0.041,35498.79,1.378,sea,standard,MENA,Africa,high,1
2514.7,1.0,2.467,2.951,0.1225,1835.65,3.179,sea,premium,Europe,Africa,normal,0
6742.5,3.49,3.299,3.373,0.2809,164.16,2.758,road,standard,Asia,Africa,critical,1
2016.7,1.0,1.354,1.741,0.2367,1158.23,3.116,sea,standard,MENA,Asia,normal,0
6922.7,4.53,4.766,1.681,0.0972,11630.0,2.659,sea,low_cost,Africa,Asia,critical,1
9291.6,6.28,4.616,5.081,0.3935,51349.38,1.113,air,standard,MENA,MENA,normal,1
1264.7,1.93,4.469,2.285,0.5774,1758.04,1.528,air,standard,Europe,Asia,normal,1
6911.7,4.84,5.612,2.295,0.1202,969.12,2.702,air,standard,Europe,Asia,normal,1
5854.7,5.91,3.459,5.955,0.0841,25739.57,1.357,sea,standard,MENA,MENA,normal,0
4634.6,3.65,2.456,1.481,0.4822,12659.86,1.203,sea,standard,MENA,Asia,normal,1
8059.3,6.51,2.652,2.4,0.3207,32022.19,6.209,sea,standard,MENA,Africa,high,1
8270.3,4.46,0.669,2.387,0.0958,4164.22,1.168,air,standard,Asia,Africa,high,1
11898.6,8.83,0.628,2.532,0.0299,1413.17,1.081,air,premium,Africa,MENA,normal,0
618.6,1.0,3.203,0.8,0.1248,567841.06,2.302,sea,premium,MENA,MENA,high,0
10417.0,6.87,2.25,3.445,0.1793,4248.27,4.211,road,standard,Africa,MENA,normal,1
3198.0,3.49,5.254,2.435,0.281,4083.6,2.488,road,low_cost,MENA,Europe,low,1
6072.5,4.01,1.032,5.13,0.1344,7043.71,5.01,road,standard,Asia,MENA,high,1
2143.0,1.38,0.97,5.286,0.3383,21353.9,1.664,sea,standard,MENA,MENA,low,1
6596.0,5.38,1.122,2.372,0.3616,383.19,4.882,air,standard,MENA,Africa,low,1
5619.0,5.97,3.547,2.442,0.1946,22031.6,5.507,road,standard,MENA,Europe,normal,1
5619.5,5.07,1.99,0.15,0.2045,3784.58,1.794,sea,standard,Asia,MENA,high,0
8916.5,7.62,6.061,4.455,0.5856,15492.72,2.121,sea,premium,Asia,Africa,normal,1
7342.7,4.4,2.225,2.033,0.1586,6002.0,0.759,road,standard,Africa,MENA,low,0
12131.1,8.84,1.779,3.342,0.1351,976.01,0.679,air,standard,Asia,MENA,low,0
1132.2,1.93,1.542,1.462,0.1477,403.96,5.314,sea,standard,MENA,Asia,normal,1
1928.2,4.89,3.117,6.955,0.3949,4531.83,4.988,sea,standard,MENA,Asia,low,1
9200.7,4.11,5.606,4.256,0.1762,1017.38,5.857,road,standard,Asia,Africa,normal,0
5536.5,5.15,1.771,3.849,0.4345,4398.19,2.285,road,low_cost,Africa,Africa,normal,1
7816.4,6.12,2.156,1.451,0.6531,23876.54,3.437,sea,standard,Asia,Europe,normal,1
2198.1,1.11,4.532,2.169,0.1341,586.57,0.493,sea,low_cost,Africa,Asia,low,1
385.5,1.0,3.223,3.181,0.0795,4943.61,2.593,air,premium,Asia,Africa,normal,0
6736.8,4.95,1.28,4.717,0.2802,21631.91,1.631,sea,premium,MENA,Asia,high,1
8105.9,7.82,3.504,5.069,0.3305,1044.29,4.321,air,standard,MENA,Europe,normal,1
707.9,1.0,4.374,6.081,0.4766,4350.75,4.419,road,standard,Europe,MENA,high,1
4783.3,4.55,4.887,4.263,0.1718,59285.75,0.758,rail,premium,Europe,Africa,normal,1
5331.4,4.15,3.736,3.438,0.4498,1195.93,2.373,air,standard,Asia,MENA,low,1
2259.7,1.86,3.636,2.447,0.3939,16252.19,1.763,sea,premium,Europe,MENA,high,1
5827.3,3.9,0.488,7.524,0.315,49217.85,4.972,road,low_cost,Asia,MENA,normal,1
11924.3,7.81,0.899,1.586,0.3309,42313.51,4.569,air,premium,Europe,Asia,normal,1
5621.7,2.95,1.964,7.036,0.0815,18134.24,2.009,sea,standard,Asia,Asia,normal,1
2225.2,1.14,2.953,3.716,0.1345,2456.07,1.423,road,low_cost,Asia,Europe,normal,1
4231.0,3.78,3.051,2.888,0.1344,847.74,1.503,sea,standard,Africa,Africa,normal,0
2814.0,1.0,0.98,5.545,0.2251,1062.59,2.588,air,premium,MENA,Asia,normal,0
10361.9,8.67,2.376,1.957,0.2962,9915.65,3.407,sea,premium,Europe,Europe,normal,1
