route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
1426.3,1.35,3.205,3.168,0.1696,11228.32,1.042,sea,premium,Europe,Europe,low,0
610.2,1.0,0.467,3.129,0.1417,22097.5,5.396,rail,premium,Africa,MENA,normal,0
4510.9,2.49,2.046,0.88,0.2446,7234.4,5.754,sea,standard,Europe,Europe,low,1
814.9,2.31,4.757,3.206,0.1098,517.92,4.535,road,standard,Africa,Asia,high,1
699.3,1.0,2.651,2.635,0.1283,19088.4,2.425,road,standard,Europe,MENA,critical,0
414.8,1.8,3.315,0.835,0.1123,1458.12,1.08,road,premium,Asia,MENA,low,0
477.6,2.8,4.603,1.48,0.532,9305.7,1.352,sea,standard,Europe,MENA,normal,1
3703.2,3.24,2.518,1.196,0.0986,550.95,6.805,air,standard,Africa,Africa,normal,0
1849.8,2.69,4.723,1.788,0.4943,4552.11,5.218,sea,premium,Africa,Africa,normal,1
1831.2,2.92,3.583,2.311,0.2016,765.0,2.228,air,premium,MENA,Europe,normal,0
6547.7,4.45,1.401,5.372,0.3195,9909.46,4.985,sea,premium,Europe,Asia,high,0
3628.1,2.84,1.689,5.747,0.064,366.27,0.643,road,premium,Africa,Africa,low,0
3210.5,3.04,3.939,3.442,0.2983,1188.33,3.551,sea,low_cost,Europe,MENA,critical,1
1916.7,3.58,1.691,2.664,0.0798,1910.87,0.044,road,standard,Asia,Europe,low,1
6213.7,5.0,0.43,4.655,0.3082,1686.95,4.866,road,low_cost,MENA,MENA,normal,1
5428.5,4.09,2.388,5.724,0.2283,2319.33,1.802,rail,standard,MENA,Europe,high,1
1745.0,2.48,3.432,5.898,0.2145,12926.02,0.326,sea,standard,Asia,Asia,normal,1
742.8,4.8,2.352,3.943,0.2164,893.3,1.934,sea,premium,Asia,Africa,high,1
1702.7,4.15,1.496,0.999,0.1509,3750.51,2.347,sea,premium,Europe,Asia,low,1
5659.5,4.26,4.906,1.28,0.5756,23843.93,2.934,air,standard,Asia,Europe,normal,1
5783.7,6.3,1.397,1.87,0.4265,3026.72,0.845,sea,premium,Asia,Europe,normal,1
2304.9,1.33,5.083,1.092,0.169,9254.18,3.329,sea,premium,MENA,MENA,critical,0
1012.2,1.56,0.587,2.286,0.1655,22747.23,1.763,road,standard,Europe,MENA,low,0
1080.1,1.0,1.626,6.899,0.3955,5595.83,0.553,sea,standard,Africa,MENA,high,1
974.2,1.61,0.465,2.83,0.3387,2331.91,6.026,air,low_cost,Africa,Asia,normal,1
4199.2,1.91,6.452,2.707,0.3537,2416.39,0.577,sea,standard,Europe,MENA,normal,1
2728.1,1.0,1.98,3.541,0.1998,1758.18,1.104,rail,low_cost,Europe,MENA,low,0
