route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
5152.4,5.71,3.595,9.292,0.1878,606.62,2.736,air,standard,Europe,MENA,critical,1
3377.4,3.07,5.907,8.029,0.4154,3972.24,0.466,sea,standard,Europe,Asia,high,1
3088.8,2.74,3.165,7.747,0.286,3958.56,3.249,sea,premium,Europe,Africa,normal,1
2111.3,1.79,3.453,6.599,0.3955,9389.36,0.86,road,low_cost,Africa,Africa,normal,1
3054.9,2.79,1.535,5.609,0.0639,9625.02,3.354,air,standard,Africa,MENA,high,0
1313.2,1.0,2.553,3.523,0.1101,2140.76,1.762,air,premium,MENA,Asia,low,0
2380.5,1.42,6.112,4.372,0.2329,15319.15,2.958,sea,standard,Asia,Africa,low,1
6621.6,5.72,5.365,8.368,0.2777,56146.14,4.457,air,standard,Europe,MENA,critical,1
4732.5,3.17,0.486,9.045,0.2271,1077.73,3.131,road,standard,Asia,Asia,high,1
721.2,1.0,1.48,6.924,0.1107,3033.6,3.755,sea,standard,Africa,MENA,critical,1
3400.2,5.19,0.534,7.627,0.2706,1611.84,7.024,road,standard,Africa,Asia,normal,1
5967.5,4.95,7.35,8.329,0.4456,14545.43,2.617,sea,premium,Africa,Africa,critical,1
1589.7,2.25,6.323,6.32,0.1198,1044.66,2.844,sea,premium,MENA,Africa,normal,1
2388.5,2.17,3.028,5.147,0.1909,7716.65,3.125,road,standard,MENA,MENA,high,1
1690.7,3.62,2.994,6.858,0.1468,5113.0,1.231,sea,low_cost,MENA,Asia,normal,1
2645.7,2.48,4.302,7.081,0.3274,11936.43,2.99,air,standard,Africa,Africa,normal,1
855.8,2.92,1.451,5.539,0.3067,376.2,2.116,sea,standard,Africa,Europe,normal,1
4156.1,1.55,1.696,3.94,0.1033,15609.61,2.115,road,standard,Europe,Europe,high,1
2012.2,2.8,6.276,5.149,0.4221,2475.12,1.403,air,standard,Europe,Europe,high,1
100.3,1.0,2.936,6.005,0.2243,3304.36,1.691,sea,premium,Africa,Africa,high,1
1989.5,1.23,0.713,4.139,0.289,5347.81,2.141,air,standard,Europe,MENA,high,0
5488.9,3.01,2.2,5.051,0.4838,4711.91,6.076,road,premium,MENA,Asia,normal,1
5410.8,5.94,4.471,5.16,0.2685,20988.4,2.049,road,low_cost,Africa,Asia,high,1
4358.1,4.74,4.145,7.937,0.3142,1169.78,1.884,air,low_cost,MENA,MENA,normal,1
776.7,2.19,6.437,9.733,0.3871,2990.26,2.838,air,low_cost,Asia,Asia,low,1
2794.3,1.17,0.162,3.905,0.1874,524.0,3.335,road,standard,Africa,Europe,high,0
3679.8,1.27,4.363,6.367,0.258,10305.52,3.702,sea,standard,Europe,MENA,normal,0
5757.9,2.69,0.973,7.565,0.1855,13790.43,4.214,sea,standard,Africa,Africa,high,1
776.5,1.0,4.959,9.236,0.2601,1419.96,1.352,sea,standard,Asia,MENA,normal,1
