route_distance_km,planned_transit_days,customs_complexity_score,weather_risk_score,historical_route_delay_rate,cargo_value_usd,port_congestion_score,shipment_mode,carrier_type,origin_region,destination_region,shipment_priority,is_delayed
2126.5,3.67,2.462,2.949,0.3863,28915.08,4.377,road,standard,Africa,Europe,low,1
1342.1,1.55,0.625,5.433,0.4134,3358.55,3.239,sea,premium,Asia,MENA,high,1
3891.2,1.33,0.482,1.945,0.1145,11274.15,3.93,road,standard,Asia,Africa,critical,0
2218.7,2.66,3.503,4.985,0.4277,1504.62,1.007,road,premium,MENA,Europe,normal,1
2033.6,1.96,8.158,6.527,0.5307,449.19,4.567,air,premium,Africa,Europe,high,1
6459.5,4.52,1.525,4.459,0.2453,14158.95,2.366,rail,standard,Europe,MENA,high,1
439.7,2.68,1.616,5.856,0.3159,748.17,1.432,road,standard,MENA,Asia,critical,1
3327.4,1.55,5.04,1.534,0.033,1010.71,6.696,road,low_cost,Africa,Africa,normal,1
1426.7,2.69,2.385,5.19,0.3491,3872.31,3.077,air,standard,MENA,Asia,low,1
2553.0,1.71,1.029,2.338,0.1346,2520.98,2.507,sea,low_cost,Europe,MENA,low,0
1188.9,1.27,3.347,2.916,0.2921,231.65,2.833,sea,standard,MENA,Africa,high,1
2220.1,1.08,1.995,0.888,0.0788,3072.35,1.002,rail,standard,MENA,Europe,high,0
10918.1,6.96,2.296,1.005,0.0442,2605.04,4.214,sea,premium,Asia,Africa,normal,0
4387.9,2.9,4.289,3.057,0.0358,14474.85,3.461,road,standard,Europe,MENA,low,1
3888.7,1.0,3.026,5.149,0.1696,37853.0,2.3,sea,premium,MENA,MENA,low,1
2606.7,2.65,2.53,1.267,0.2924,15562.47,2.944,air,premium,Africa,Africa,normal,0
2434.4,2.26,1.212,1.43,0.3226,1402.75,0.922,sea,premium,Europe,Asia,critical,1
2739.1,1.0,1.002,1.96,0.2407,12150.03,2.433,air,low_cost,Africa,MENA,normal,0
3609.4,3.7,1.55,0.542,0.3374,14601.3,3.499,road,standard,Europe,MENA,normal,1
4444.8,5.21,3.276,1.875,0.162,3537.87,4.731,sea,low_cost,MENA,MENA,normal,1
8717.4,5.51,2.838,2.134,0.4974,2117.65,4.64,road,low_cost,Asia,Africa,high,1
2119.8,1.0,4.541,1.69,0.0961,661.27,0.082,sea,low_cost,Africa,Europe,high,0
6354.9,6.07,5.269,2.165,0.2241,850.16,4.153,rail,premium,MENA,Europe,low,1
8780.8,6.84,2.12,0.992,0.4238,5576.91,5.071,road,low_cost,Europe,MENA,normal,1
4680.0,3.46,0.827,4.786,0.1192,11965.08,1.896,road,low_cost,Africa,MENA,high,0
2402.7,3.08,1.036,0.636,0.416,6722.76,1.053,air,low_cost,Africa,Africa,critical,0
4701.3,3.96,1.826,5.666,0.1796,17986.01,0.982,sea,premium,Asia,Europe,normal,1
617.6,2.63,3.603,0.963,0.4973,2227.82,3.383,air,premium,Europe,Africa,low,1
7813.5,5.69,2.059,4.552,0.5717,1484.58,3.194,air,low_cost,Asia,Africa,normal,1
4989.1,4.34,0.694,3.864,0.0686,5999.59,2.248,road,premium,MENA,MENA,normal,0
2326.9,3.37,4.714,3.217,0.1427,14470.19,0.649,road,standard,MENA,Africa,normal,1
2196.3,1.0,2.26,5.064,0.0393,2541.19,5.185,rail,standard,Europe,Africa,critical,1
773.2,2.38,6.733,3.332,0.3786,780.26,0.713,sea,premium,MENA,Africa,normal,1
5515.9,3.57,1.365,3.238,0.1211,26894.5,5.197,sea,premium,Africa,MENA,critical,0
2234.2,2.59,3.509,3.255,0.0174,2329.67,0.31,sea,low_cost,Europe,MENA,normal,0
8268.0,8.01,3.634,2.276,0.2173,24791.28,6.33,air,low_cost,Africa,Africa,low,1
607.9,1.0,1.945,6.041,0.3075,12525.12,1.405,air,low_cost,Asia,MENA,normal,1
1209.5,1.0,0.795,2.977,0.0601,2742.46,3.185,sea,standard,Asia,Europe,normal,0
1089.9,1.16,0.637,4.717,0.2809,1994.55,0.899,air,premium,Africa,Asia,high,0
179.7,1.0,3.6,4.239,0.2699,4923.09,0.985,road,standard,Europe,MENA,normal,1
4100.2,5.87,1.478,2.192,0.1582,157.54,4.064,sea,standard,Africa,Africa,low,1
932.7,1.07,2.158,2.805,0.4495,55111.47,2.397,road,premium,MENA,Africa,critical,1
1214.2,3.28,6.899,6.998,0.0327,6321.18,1.191,road,standard,MENA,Europe,normal,1
985.9,1.0,0.668,3.288,0.1532,14536.1,2.275,sea,low_cost,MENA,Africa,normal,1
1887.4,1.8,1.539,1.595,0.0263,709.76,3.398,road,standard,Asia,Africa,high,0
7191.5,6.43,3.326,4.632,0.2617,49950.42,4.003,road,standard,MENA,Africa,low,1
3609.6,1.58,3.029,6.123,0.5401,2325.02,4.19,sea,standard,Africa,MENA,low,1
2957.7,2.35,2.305,4.304,0.1481,3626.01,3.683,air,premium,Europe,Asia,normal,0
2557.9,3.29,0.599,3.584,0.3106,4804.35,1.832,road,standard,Asia,Africa,normal,1
1651.0,1.35,2.578,4.056,0.1117,1341.2,1.913,air,standard,Asia,Africa,normal,0
1671.4,1.03,4.961,5.399,0.3223,1993.97,0.959,air,standard,Asia,MENA,critical,1
2850.7,3.74,2.945,3.306,0.0784,23653.36,3.808,air,standard,Asia,Asia,normal,0
6667.4,6.63,0.847,0.139,0.5898,16951.42,2.217,road,low_cost,Asia,MENA,critical,1
1553.6,3.41,1.817,5.234,0.261,7068.17,0.825,road,premium,Africa,MENA,low,1
5097.0,3.09,5.414,3.729,0.281,1120.97,3.563,road,premium,Europe,Asia,low,1
1026.5,1.0,6.279,2.771,0.2312,2517.49,3.2,road,premium,MENA,MENA,low,1
4078.0,2.65,3.471,3.916,0.1622,6833.13,0.796,sea,premium,Asia,Europe,low,1
6492.3,5.69,2.658,2.5,0.2727,7482.78,2.827,sea,standard,MENA,Asia,normal,1
2408.3,1.0,4.211,2.193,0.2369,15200.32,7.646,air,low_cost,Africa,MENA,high,1
1661.2,1.0,1.83,4.323,0.1488,919.77,0.881,air,low_cost,Asia,Asia,high,0
4067.1,2.35,3.72,3.31,0.2245,6115.94,1.08,road,standard,Asia,MENA,high,1
7718.5,4.52,1.686,2.554,0.177,40390.05,2.615,sea,standard,Europe,Africa,low,1
4941.4,4.86,1.373,2.599,0.2154,6332.98,0.945,sea,premium,MENA,Africa,high,0
8422.1,7.1,0.642,1.366,0.3752,17542.96,3.162,road,standard,Asia,MENA,normal,1
2590.5,1.65,4.712,3.758,0.5195,1279.14,1.493,sea,standard,MENA,Asia,high,1
2470.3,1.91,2.274,3.868,0.2667,13783.91,1.009,sea,low_cost,Africa,Europe,high,1
677.5,1.0,3.279,2.865,0.3056,4063.69,1.952,sea,standard,Europe,Africa,low,1
1602.6,1.02,4.93,1.009,0.1332,325.18,3.756,sea,premium,Europe,Europe,normal,1
