feature,type,reference_mean,batch_mean,reference_std,batch_std,normalized_mean_diff,normalized_std_diff,drift_score,tvd
route_distance_km,numeric,3000.1366833333336,3000.2101,2162.9919103285365,2094.4072664326,3.3942182731053746e-05,0.03170822949842621,0.03170822949842621,
planned_transit_days,numeric,2.66257,2.6755699999999996,1.6440889269845793,1.5983416941540602,0.007907114868684588,0.027825278839645244,0.027825278839645244,
customs_complexity_score,numeric,2.8672011666666672,2.75774,1.5846601254898558,1.5370758727657652,0.06907548496106074,0.03002804952221613,0.06907548496106074,
weather_risk_score,numeric,3.3359481666666664,3.287102,1.7855451722299414,1.736918951200383,0.027356444085737213,0.02723326286325744,0.027356444085737213,
historical_route_delay_rate,numeric,0.24816718333333332,0.24642840000000002,0.14537931068551543,0.14286195676992575,0.01196032176197778,0.01731576455906596,0.01731576455906596,
cargo_value_usd,numeric,13727.73122,13709.020620000001,35278.26840811491,47126.43178845309,0.0005303718363822698,0.33584877929022144,0.33584877929022144,
port_congestion_score,numeric,2.8651083333333336,2.955942,1.6094086663450151,1.6337790593132997,0.05643915592485936,0.015142451682971245,0.05643915592485936,
shipment_mode,categorical,,,,,,,0.014000000000000005,0.014000000000000005
carrier_type,categorical,,,,,,,0.0036666666666666514,0.0036666666666666514
origin_region,categorical,,,,,,,0.03950000000000002,0.03950000000000002
destination_region,categorical,,,,,,,0.020333333333333342,0.020333333333333342
shipment_priority,categorical,,,,,,,0.025333333333333354,0.025333333333333354
