feature,type,reference_mean,batch_mean,reference_std,batch_std,normalized_mean_diff,normalized_std_diff,drift_score,tvd
route_distance_km,numeric,3000.1366833333336,3138.3376000000003,2162.9919103285365,2274.5364092058503,0.06389340431960994,0.051569540479867684,0.06389340431960994,
planned_transit_days,numeric,2.66257,2.7264899999999996,1.6440889269845793,1.7080329494645168,0.03887867556971818,0.03889328699343356,0.03889328699343356,
customs_complexity_score,numeric,2.8672011666666672,2.7808369999999996,1.5846601254898558,1.6301502324053483,0.05450011979065258,0.02870653850864735,0.05450011979065258,
weather_risk_score,numeric,3.3359481666666664,3.350473,1.7855451722299414,1.8287061134365796,0.008134677049471564,0.024172416289381913,0.024172416289381913,
historical_route_delay_rate,numeric,0.24816718333333332,0.2508293,0.14537931068551543,0.14470940149966893,0.018311523518125285,0.004608009094881795,0.018311523518125285,
cargo_value_usd,numeric,13727.73122,13123.41311,35278.26840811491,37777.38316374705,0.017130038895587955,0.07084006297364857,0.07084006297364857,
port_congestion_score,numeric,2.8651083333333336,2.8863670000000003,1.6094086663450151,1.5809327483057798,0.01320899229090485,0.017693404189194812,0.017693404189194812,
shipment_mode,categorical,,,,,,,0.004500000000000004,0.004500000000000004
carrier_type,categorical,,,,,,,0.4435,0.4435
origin_region,categorical,,,,,,,0.008666666666666656,0.008666666666666656
destination_region,categorical,,,,,,,0.024833333333333346,0.024833333333333346
shipment_priority,categorical,,,,,,,0.018666666666666665,0.018666666666666665
